1567416018:[MONITR,771]reboot code 0x0000, src/monitor.c@616
1567416018:[MAIN  ,361]board 452.020-P-0051
1567416018:[MAIN  ,362]soft 452.012.300.1690-20190724
1567416018:[MAIN  ,367]date 2019-09-02T09:20:18
1567416019:[MONITR,461]battery 15416mV,   12322uA
1567416024:[MAIN  ,378]battery 15422mV,   11224uA
1567416026:[MAIN  ,408]internal pressure 79730Pa
1567416028:[PRESS , 81]P    +80mbar,T-28631mdegC
1567416031:[MRMAID,664]$BOARD:452116600-51;
1567416031:[MRMAID,664]$SOFT:2.1344;
1567416032:[TESTMD,652]Enter in test mode? yes/no
1567416037:[TESTMD,663]"yes"
1567416089:[TESTMD,364]"ls"
1567416166:[TESTMD,364]"ls 0051/"
1567416170:[TESTMD,364]"ls 0051"
1567416211:[TESTMD,364]"cat 0051/5D691778.LOG"
1567416378:[TESTMD,364]"cat 0051/5D691CC6.LOG"
1567416514:[TESTMD,364]"cat 0051/5D6CDED2.LOG"
1567416587:[TESTMD,364]"cat 0051/5D4275EF.LOG"
1567416705:[TESTMD,364]"cat 0051/5D4275EF.LOG"
1567416817:[TESTMD,364]"ls 0051"
1567416872:[TESTMD,364]"cat 0051/5D430791.MER"
1567416905:[TESTMD,364]"ls 0051"
1567416990:[TESTMD,364]"cat 0051/5D43079D.LOG"
1567417115:[TESTMD,364]"ls 0051"
1567417172:[TESTMD,364]"cat 0051/5D439940.MER"
1567417183:[TESTMD,364]"cat 0051/5D439940.MER"
1567417233:[TESTMD,364]"ls 0051"
1567417314:[TESTMD,364]"cat 0051/5D43994C.LOG"
1567417388:[TESTMD,364]"ls 0051"
1567417417:[TESTMD,364]"cat 0051/5D442B0A.MER"
1567417465:[TESTMD,364]"ls 0051"
1567417476:[TESTMD,364]"cat 0051/5D442B15.LOG"
1567417523:[TESTMD,364]"cat 0051/5D442B15.LOG"
1567417567:[TESTMD,364]"ls 0051"
1567417692:[TESTMD,364]"cat 0051/5D44BCBA.MER"
1567417765:[TESTMD,364]"cat 0051/5D44BCC6.LOG"
1567417881:[TESTMD,364]"cat 0051/5D454E75.MER"
1567417941:[TESTMD,364]"cat 0051/5D454E81.LOG"
1567418050:[TESTMD,364]"cat 0051/5D45E02E.MER"
1567418137:[TESTMD,364]"cat 0051/5D45E03A.LOG"
1567418284:[TESTMD,364]"cat 0051/5D4671DB.MER"
1567418332:[TESTMD,364]"cat 0051/5D4671E7.LOG"
1567418425:[TESTMD,364]"cat 0051/5D470396.MER"
1567418501:[TESTMD,364]"cat 0051/5D4703A1.LOG"
1567418594:[TESTMD,364]"cat 0051/5D47953D.MER"
1567418663:[TESTMD,364]"cat 0051/5D479549.LOG"
1567418756:[TESTMD,364]"cat 0051/5D47DD63.MER"
1567418802:[TESTMD,364]"cat 0051/5D47DD6F.LOG"
