1576179889:[MAIN  ,111]board 452.020-P-0045
1576179890:[MAIN  ,112]soft 452.012.300.1683-20181119
1576179890:[MAIN  ,113]cycle 29
1576179902:[SURF  ,422]GPS fix...
1576179922:[SURF  ,439]10 PPS detected...
1576179923:[MRMAID,645]$GPSACK:+0,+0,+0,+0,+0,+0,+0;
1576179933:[MRMAID,650]$GPSOFF:3686332;
1576179935:[SURF  ,394]S27deg19.550mn, W168deg49.770mn
1576179935:[SURF  ,401]hdop 0.580, vdop 1.060
1576179945:[SURF  ,260]Iridium...
1576180229:[SURF  ,311]connected in 284s, signal quality 5
1576180272:[MRMAID,664]$TRIG:4,2;
1576180282:[SURF  ,328]8 cmd(s) received
1576180793:[SURF  ,345]2 file(s) uploaded
1576180830:[SURF  ,366]disconnected after 885s
1576180850:[SURF  ,422]GPS fix...
1576180871:[SURF  ,439]10 PPS detected...
1576180872:[MRMAID,645]$GPSACK:+0,+0,+0,+0,+0,+0,-30;
1576180882:[MRMAID,650]$GPSOFF:3686332;
1576180884:[SURF  ,394]S27deg19.530mn, W168deg49.814mn
1576180884:[SURF  ,401]hdop 0.550, vdop 0.940
1576180901:[MAIN  ,598]internal pressure 78826Pa
1576180902:    bypass 20000ms 120000ms (20000ms 60000ms stored)
1576180902:    valve 60000ms 12750 (60000ms 12750 stored)
1576180902:    pump 60000ms 30% 10750 80% (60000ms 30% 10750 80% stored)
1576180902:    rate 2mbar/s (2mbar/s stored)
1576180902:    surface 500mbar (500mbar stored)
1576180902:    near 15000mbar 3mbar/s (15000mbar 3mbar/s stored)
1576180902:    far 25000mbar 4mbar/s (25000mbar 4mbar/s stored)
1576180902:    ascent 8mbar/s (8mbar/s stored)
1576180902:    dead 300s (300s stored)
1576180902:    coeff 16/10 (16/10 stored)
1576180902:    stab 10 (10 stored)
1576180902:    delay 900s 3600s (900s 3600s stored)
1576180902:    mmtime 2880min (2880min stored)
1576180902:    p2t37: 15x2000ms, offset 0mbar
1576180902:    p2t37: dp 5000mbar, dt 5000mdegC
1576180902:    stage[0] 150000mbar (+/-5000mbar) 60000s (<60000s)
1576180902:    stage[1] 150000mbar (+/-5000mbar) 648000s (<708000s)
1576180902:[MAIN  ,626]turn off bluetooth
1576180905:[PRESS , 95]P   +250mbar,T +2534mdegC
1576180907:[PRESS , 95]P   +240mbar,T-11839mdegC
1576180909:[PRESS , 95]P   +230mbar,T+28117mdegC
1576180916:[PRESS , 95]P   +240mbar,T +2534mdegC
1576180920:[PRESS , 95]P   +250mbar,T+28117mdegC
1576180921:[PRESS , 95]P   +230mbar,T +2534mdegC
1576180925:[PRESS , 95]P   +240mbar,T-23048mdegC
1576180927:[PRESS , 95]P   +240mbar,T +2534mdegC
1576180929:[PRESS , 95]P   +240mbar,T+28117mdegC
1576180930:[PRESS , 95]P   +240mbar,T-11839mdegC
1576180930:[BYPASS,147]opening 120000ms
1576181062:[PRESS , 95]P   +140mbar,T +2534mdegC
1576181064:[PRESS , 95]P   +140mbar,T+28117mdegC
1576181067:[PRESS , 95]P   +150mbar,T +2534mdegC
1576181073:[PRESS , 95]P   +140mbar,T+28117mdegC
1576181074:[PRESS , 95]P   +150mbar,T +2534mdegC
1576181076:[PRESS , 95]P   +140mbar,T+28117mdegC
1576181078:[PRESS , 95]P   +140mbar,T +2534mdegC
1576181080:[PRESS , 95]P   +150mbar,T+28117mdegC
1576181082:[PRESS , 95]P   +150mbar,T +2534mdegC
1576181085:[PRESS , 95]P   +150mbar,T-11839mdegC
1576181087:[PRESS , 95]P   +150mbar,T +2534mdegC
1576181087:[BYPASS,147]opening 20000ms
1576181119:[PRESS , 95]P   +160mbar,T+28117mdegC
1576181126:[PRESS , 95]P   +150mbar,T +2534mdegC
1576181128:[PRESS , 95]P   +150mbar,T+28117mdegC
1576181131:[PRESS , 95]P   +140mbar,T +2534mdegC
1576181135:[PRESS , 95]P   +140mbar,T+28117mdegC
1576181137:[PRESS , 95]P   +140mbar,T +2534mdegC
1576181140:[PRESS , 95]P   +150mbar,T+28117mdegC
1576181142:[PRESS , 95]P   +150mbar,T +2534mdegC
1576181144:[PRESS , 95]P   +150mbar,T+28117mdegC
1576181144:[BYPASS,147]opening 20000ms
1576181176:[PRESS , 95]P   +140mbar,T +2534mdegC
1576181177:[PRESS , 95]P   +150mbar,T+28117mdegC
1576181179:[PRESS , 95]P   +150mbar,T +2534mdegC
1576181181:[PRESS , 95]P   +150mbar,T+28117mdegC
1576181185:[PRESS , 95]P   +150mbar,T +2534mdegC
1576181186:[PRESS , 95]P   +150mbar,T+28117mdegC
1576181188:[PRESS , 95]P   +150mbar,T-23048mdegC
1576181190:[PRESS , 95]P   +150mbar,T+28117mdegC
1576181192:[PRESS , 95]P   +150mbar,T +2534mdegC
1576181195:[PRESS , 95]P   +150mbar,T+28117mdegC
1576181201:[PRESS , 95]P   +160mbar,T +2534mdegC
1576181201:[BYPASS,147]opening 20000ms
1576181233:[PRESS , 95]P   +160mbar,T+28117mdegC
1576181245:[PRESS , 95]P   +150mbar,T +2534mdegC
1576181249:[PRESS , 95]P   +160mbar,T+28117mdegC
1576181252:[PRESS , 95]P   +170mbar,T +2534mdegC
1576181254:[PRESS , 95]P   +160mbar,T+28117mdegC
1576181258:[BYPASS,147]opening 20000ms
1576181289:[PRESS , 95]P   +170mbar,T-11839mdegC
1576181291:[PRESS , 95]P   +160mbar,T+28117mdegC
1576181293:[PRESS , 95]P   +160mbar,T +2534mdegC
1576181296:[PRESS , 95]P   +180mbar,T-11839mdegC
1576181298:[PRESS , 95]P   +180mbar,T +2534mdegC
1576181300:[PRESS , 95]P   +170mbar,T+28117mdegC
1576181305:[PRESS , 95]P   +170mbar,T +2534mdegC
1576181307:[PRESS , 95]P   +170mbar,T+28117mdegC
1576181313:[PRESS , 95]P   +170mbar,T +2534mdegC
1576181314:[PRESS , 95]P   +170mbar,T+28117mdegC
1576181314:[BYPASS,147]opening 20000ms
1576181351:[PRESS , 95]P   +170mbar,T-11839mdegC
1576181355:[PRESS , 95]P   +170mbar,T +2534mdegC
