1557664667:[MAIN  ,111]board 452.210-P-0014
1557664668:[MAIN  ,112]soft 452.012.300.1686-20190318
1557664668:[MAIN  ,113]cycle 2
1557664669:[MONITR,461]battery 14751mV,  134932uA
1557664674:[SURF  ,428]GPS fix...
1557664734:[SURF  ,445]10 PPS detected...
1557664735:[MRMAID,645]$GPSACK:+0,+0,+0,+0,+0,-3,+0;
1557664745:[MRMAID,650]$GPSOFF:3686340;
1557664745:[SURF  ,400]N43deg40.929mn, E007deg19.183mn
1557664745:[SURF  ,407]hdop 1.240, vdop 1.510
1557664755:[SURF  ,260]Iridium...
1557664789:[SURF  ,317]connected in 34s, signal quality 5
1557664828:[MRMAID,664]$TRIG:1,1;
1557664830:[MRMAID,664]$DTRIG:1,2;
1557664833:[MRMAID,664]$SCALES:2;
1557664858:[SURF  ,334]16 cmd(s) received
1557664888:[MONITR,461]battery 14552mV,  246318uA
1557665115:[SURF  ,351]2 file(s) uploaded
1557665134:[MONITR,461]battery 14665mV,  136518uA
1557665147:[SURF  ,372]disconnected after 392s
1557665149:[MONITR,461]battery 14881mV,   32696uA
1557665153:[MONITR,461]battery 14653mV,  162748uA
1557665159:[SURF  ,428]GPS fix...
1557665210:[SURF  ,445]10 PPS detected...
1557665211:[MRMAID,645]$GPSACK:+0,+0,+0,+0,+0,+4,-999969;
1557665221:[MRMAID,650]$GPSOFF:3686339;
1557665226:[SURF  ,400]N43deg40.929mn, E007deg19.183mn
1557665226:[SURF  ,407]hdop 0.970, vdop 1.460
1557665237:[MONITR,461]battery 14888mV,   46360uA
1557665243:[MAIN  ,598]internal pressure 80758Pa
1557665244:    bypass 10000ms 180000ms (20000ms 60000ms stored)
1557665244:    valve 60000ms 12750 (60000ms 12750 stored)
1557665244:    pump 60000ms 30% 10750 80% (60000ms 30% 10750 80% stored)
1557665244:    rate 2mbar/s (2mbar/s stored)
1557665244:    surface 500mbar (500mbar stored)
1557665244:    near 1500mbar 3mbar/s (15000mbar 3mbar/s stored)
1557665244:    far 2500mbar 4mbar/s (25000mbar 4mbar/s stored)
1557665244:    ascent 8mbar/s (8mbar/s stored)
1557665244:    dead 60s (300s stored)
1557665244:    coeff 16/10 (16/10 stored)
1557665244:    stab 10 (10 stored)
1557665244:    delay 900s 3600s (900s 3600s stored)
1557665244:    mmtime 2880min (2880min stored)
1557665244:    dv_landing 100ml (100ml stored)
1557665244:    p2t37: 15x2000ms, offset 50mbar
1557665244:    p2t37: dp 50mbar, dt 5000mdegC
1557665244:    stage[0] 5000mbar (+/-500mbar) 1800s (<1800s)
1557665245:    stage[1] 5000mbar (+/-500mbar) 1800s (<3600s)
1557665245:[MAIN  ,626]turn off bluetooth
1557665247:[PRESS , 81]P   +100mbar,T+16808mdegC
1557665249:[PRESS , 95]P   +110mbar,T -9880mdegC
1557665251:[PRESS , 95]P   +110mbar,T+16808mdegC
1557665253:[PRESS , 95]P   +110mbar,T -9880mdegC
1557665256:[PRESS , 95]P   +110mbar,T+16808mdegC
1557665258:[PRESS , 95]P   +100mbar,T -9880mdegC
1557665264:[PRESS , 95]P   +110mbar,T+16808mdegC
1557665265:[PRESS , 95]P   +120mbar,T -9880mdegC
1557665269:[PRESS , 95]P   +110mbar,T+16808mdegC
1557665271:[PRESS , 95]P   +110mbar,T -9880mdegC
1557665272:[PRESS , 95]P   +110mbar,T+28966mdegC
1557665273:[BYPASS,147]opening 180000ms
1557665274:[MONITR,461]battery 14447mV,  286456uA
1557665279:[MONITR,461]battery 14948mV,   35258uA
1557665458:[MONITR,461]battery 14518mV,  215818uA
1557665464:[PRESS , 81]P   +180mbar,T+16808mdegC
1557665466:[PRESS , 95]P   +190mbar,T -9880mdegC
1557665468:[PRESS , 95]P   +190mbar,T+16808mdegC
1557665469:[PRESS , 95]P   +200mbar,T -9880mdegC
1557665475:[PRESS , 95]P   +230mbar,T+16808mdegC
1557665477:[PRESS , 95]P   +240mbar,T -9880mdegC
1557665478:[PRESS , 95]P   +240mbar,T+28966mdegC
1557665480:[PRESS , 95]P   +240mbar,T+16808mdegC
1557665482:[PRESS , 95]P   +250mbar,T -9880mdegC
1557665484:[PRESS , 95]P   +240mbar,T+16808mdegC
1557665487:[PRESS , 95]P   +260mbar,T+28966mdegC
1557665489:[PRESS , 95]P   +260mbar,T -9880mdegC
1557665492:[PRESS , 95]P   +280mbar,T+28966mdegC
1557665495:[PRESS , 95]P   +290mbar,T -9880mdegC
1557665498:[PRESS , 95]P   +310mbar,T+28966mdegC
1557665500:[PRESS , 95]P   +310mbar,T+16808mdegC
1557665506:[PRESS , 81]P   +370mbar,T+16808mdegC
1557665509:[PRESS , 95]P   +370mbar,T -9880mdegC
1557665512:[PRESS , 95]P   +400mbar,T+28966mdegC
1557665514:[PRESS , 95]P   +400mbar,T -9880mdegC
1557665517:[PRESS , 95]P   +430mbar,T+16808mdegC
1557665525:[PRESS , 95]P   +480mbar,T -9880mdegC
1557665533:[PRESS , 95]P   +530mbar,T+28966mdegC
1557665533:[DIVING,157]530mbar reached (+6mbar/s), 1 bypass done
1557665533:[MAIN  ,646]stage[0]
1557665536:[MAIN  ,651]internal pressure 83143Pa
1557665536:[PRESS , 95]P   +560mbar,T -9880mdegC
1557665536:[BUOY  ,677]P   +560mbar
1557665538:[PRESS , 95]P   +570mbar,T+28966mdegC
1557665599:[PRESS , 81]P  +1000mbar,T+16808mdegC
1557665601:[PRESS , 95]P  +1000mbar,T -9880mdegC
1557665603:[PRESS , 95]P  +1020mbar,T+16808mdegC
1557665608:[PRESS , 95]P  +1060mbar,T -9880mdegC
1557665615:[PRESS , 81]P  +1120mbar,T+16808mdegC
1557665619:[PRESS , 95]P  +1160mbar,T -9880mdegC
1557665620:[PRESS , 95]P  +1160mbar,T+16808mdegC
1557665622:[PRESS , 95]P  +1190mbar,T+28966mdegC
1557665624:[PRESS , 95]P  +1180mbar,T+16808mdegC
1557665685:[PRESS , 81]P  +1630mbar,T+16808mdegC
1557665687:[PRESS , 95]P  +1650mbar,T+28966mdegC
1557665688:[PRESS , 95]P  +1670mbar,T+16808mdegC
1557665690:[PRESS , 95]P  +1680mbar,T -9880mdegC
1557665692:[PRESS , 95]P  +1690mbar,T+16808mdegC
1557665694:[PRESS , 95]P  +1710mbar,T -9880mdegC
1557665696:[PRESS , 95]P  +1710mbar,T+16808mdegC
1557665701:[PRESS , 81]P  +1770mbar,T+16808mdegC
1557665704:[PRESS , 95]P  +1800mbar,T -9880mdegC
1557665706:[PRESS , 95]P  +1810mbar,T+16808mdegC
1557665708:[PRESS , 95]P  +1820mbar,T -9880mdegC
1557665771:[PRESS , 81]P  +2350mbar,T+16808mdegC
1557665774:[PRESS , 95]P  +2360mbar,T -9880mdegC
1557665776:[PRESS , 95]P  +2380mbar,T+28966mdegC
1557665778:[PRESS , 95]P  +2400mbar,T -9880mdegC
1557665781:[PRESS , 95]P  +2430mbar,T+16808mdegC
1557665785:[PRESS , 95]P  +2470mbar,T -9880mdegC
1557665794:[PRESS , 81]P  +2530mbar,T+16808mdegC
1557665796:[PRESS , 95]P  +2540mbar,T -9880mdegC
1557665798:[MONITR,461]battery 15042mV,   34892uA
1557665804:[PUMP  ,367]during 60000ms
