1557671137:[MAIN  ,111]board 452.210-P-0014
1557671138:[MAIN  ,112]soft 452.012.300.1686-20190318
1557671138:[MAIN  ,113]cycle 3
1557671139:[MONITR,461]battery 14710mV,  135298uA
1557671144:[SURF  ,428]GPS fix...
1557671183:[SURF  ,445]10 PPS detected...
1557671184:[MRMAID,645]$GPSACK:+0,+0,+0,+0,+0,+0,-30;
1557671194:[MRMAID,650]$GPSOFF:3686341;
1557671196:[SURF  ,400]N43deg40.930mn, E007deg19.183mn
1557671196:[SURF  ,407]hdop 1.210, vdop 1.600
1557671206:[SURF  ,260]Iridium...
1557671243:[SURF  ,317]connected in 37s, signal quality 5
1557671286:[MRMAID,664]$TRIG:1,1;
1557671288:[MRMAID,664]$DTRIG:1,2;
1557671291:[MRMAID,664]$SCALES:2;
1557671315:[SURF  ,334]16 cmd(s) received
1557671345:[MONITR,461]battery 14473mV,  274988uA
1557671525:[MONITR,461]battery 14577mV,  157136uA
1557671532:[MONITR,461]battery 14420mV,  274134uA
1557671655:[MONITR,461]battery 14552mV,  168726uA
1557671676:[SURF  ,351]2 file(s) uploaded
1557671711:[SURF  ,372]disconnected after 505s
1557671712:[MONITR,461]battery 14822mV,   33184uA
1557671718:[MONITR,461]battery 14611mV,  140056uA
1557671722:[SURF  ,428]GPS fix...
1557671784:[SURF  ,445]10 PPS detected...
1557671785:[MRMAID,645]$GPSACK:+0,+0,+0,+0,+0,+0,+0;
1557671795:[MRMAID,650]$GPSOFF:3686341;
1557671797:[SURF  ,400]N43deg40.930mn, E007deg19.182mn
1557671797:[SURF  ,407]hdop 2.880, vdop 3.810
1557671809:[MONITR,461]battery 14865mV,   32696uA
1557671814:[MAIN  ,598]internal pressure 80092Pa
1557671815:    bypass 10000ms 180000ms (20000ms 60000ms stored)
1557671815:    valve 60000ms 12750 (60000ms 12750 stored)
1557671815:    pump 60000ms 30% 10750 80% (60000ms 30% 10750 80% stored)
1557671815:    rate 2mbar/s (2mbar/s stored)
1557671815:    surface 500mbar (500mbar stored)
1557671815:    near 1500mbar 3mbar/s (15000mbar 3mbar/s stored)
1557671815:    far 2500mbar 4mbar/s (25000mbar 4mbar/s stored)
1557671815:    ascent 8mbar/s (8mbar/s stored)
1557671815:    dead 60s (300s stored)
1557671815:    coeff 16/10 (16/10 stored)
1557671815:    stab 10 (10 stored)
1557671815:    delay 900s 3600s (900s 3600s stored)
1557671815:    mmtime 2880min (2880min stored)
1557671815:    dv_landing 100ml (100ml stored)
1557671815:    p2t37: 15x2000ms, offset 50mbar
1557671815:    p2t37: dp 50mbar, dt 5000mdegC
1557671815:    stage[0] 5000mbar (+/-500mbar) 1800s (<1800s)
1557671815:    stage[1] 5000mbar (+/-500mbar) 1800s (<3600s)
1557671815:[MAIN  ,626]turn off bluetooth
1557671818:[PRESS , 81]P   +100mbar,T+16808mdegC
1557671820:[PRESS , 95]P   +100mbar,T+28966mdegC
1557671822:[PRESS , 95]P   +110mbar,T -9880mdegC
1557671829:[PRESS , 95]P    +90mbar,T+28966mdegC
1557671831:[PRESS , 95]P   +100mbar,T -9880mdegC
1557671833:[PRESS , 95]P    +90mbar,T +2275mdegC
1557671834:[PRESS , 95]P    +80mbar,T -9880mdegC
1557671836:[PRESS , 95]P    +90mbar,T+28966mdegC
1557671843:[BYPASS,147]opening 180000ms
1557671845:[MONITR,461]battery 14411mV,  282186uA
1557671850:[MONITR,461]battery 14900mV,   33184uA
1557672029:[MONITR,461]battery 14367mV,  269742uA
1557672034:[MONITR,461]battery 14682mV,  183976uA
1557672035:[PRESS , 81]P   +210mbar,T+28966mdegC
1557672037:[PRESS , 95]P   +220mbar,T -9880mdegC
1557672038:[PRESS , 95]P   +230mbar,T+28966mdegC
1557672045:[PRESS , 95]P   +270mbar,T+16808mdegC
1557672047:[PRESS , 95]P   +300mbar,T+28966mdegC
1557672053:[PRESS , 95]P   +310mbar,T -9880mdegC
1557672054:[PRESS , 95]P   +340mbar,T+28966mdegC
1557672056:[PRESS , 95]P   +340mbar,T +2275mdegC
1557672058:[PRESS , 95]P   +340mbar,T -9880mdegC
1557672060:[PRESS , 95]P   +340mbar,T+28966mdegC
1557672068:[PRESS , 81]P   +400mbar,T+28966mdegC
1557672071:[PRESS , 95]P   +410mbar,T +2275mdegC
1557672077:[PRESS , 95]P   +450mbar,T -9880mdegC
1557672079:[PRESS , 95]P   +450mbar,T +2275mdegC
1557672082:[PRESS , 95]P   +470mbar,T+28966mdegC
1557672085:[PRESS , 95]P   +480mbar,T +2275mdegC
1557672088:[PRESS , 95]P   +510mbar,T+28966mdegC
1557672090:[DIVING,157]510mbar reached (+5mbar/s), 1 bypass done
1557672090:[MAIN  ,646]stage[0]
1557672092:[MAIN  ,651]internal pressure 82526Pa
1557672093:[PRESS , 95]P   +540mbar,T -9880mdegC
1557672093:[BUOY  ,677]P   +540mbar
1557672156:[PRESS , 81]P   +970mbar,T -9880mdegC
1557672157:[PRESS , 95]P   +980mbar,T+28966mdegC
1557672159:[PRESS , 95]P  +1000mbar,T -9880mdegC
1557672165:[PRESS , 95]P  +1050mbar,T+28966mdegC
1557672166:[PRESS , 95]P  +1050mbar,T -9880mdegC
1557672168:[PRESS , 95]P  +1060mbar,T+16808mdegC
