1557677512:[MAIN  ,111]board 452.210-P-0014
1557677513:[MAIN  ,112]soft 452.012.300.1686-20190318
1557677513:[MAIN  ,113]cycle 4
1557677513:[MONITR,461]battery 14690mV,  140544uA
1557677519:[SURF  ,428]GPS fix...
1557677567:[SURF  ,445]10 PPS detected...
1557677568:[MRMAID,645]$GPSACK:+0,+0,+0,+0,+0,+0,+0;
1557677578:[MRMAID,650]$GPSOFF:3686342;
1557677580:[SURF  ,400]N43deg40.932mn, E007deg19.184mn
1557677580:[SURF  ,407]hdop 1.570, vdop 2.410
1557677590:[SURF  ,260]Iridium...
1557677629:[SURF  ,317]connected in 39s, signal quality 5
1557677669:[MRMAID,664]$TRIG:1,1;
1557677671:[MRMAID,664]$DTRIG:1,2;
1557677674:[MRMAID,664]$SCALES:2;
1557677696:[SURF  ,334]16 cmd(s) received
1557677724:[MONITR,461]battery 14477mV,  247660uA
1557678001:[SURF  ,351]2 file(s) uploaded
1557678023:[MONITR,461]battery 14575mV,  136884uA
1557678036:[SURF  ,372]disconnected after 446s
1557678037:[MONITR,461]battery 14787mV,   34160uA
1557678043:[MONITR,461]battery 14578mV,  140056uA
1557678047:[SURF  ,428]GPS fix...
1557678107:[SURF  ,445]10 PPS detected...
1557678108:[MRMAID,645]$GPSACK:+0,+0,+0,+0,+0,+1,-999938;
1557678118:[MRMAID,650]$GPSOFF:3686341;
1557678120:[SURF  ,400]N43deg40.931mn, E007deg19.184mn
1557678120:[SURF  ,407]hdop 1.280, vdop 2.000
1557678132:[MONITR,461]battery 14832mV,   32940uA
1557678137:[MAIN  ,598]internal pressure 79733Pa
1557678138:    bypass 10000ms 180000ms (20000ms 60000ms stored)
1557678138:    valve 60000ms 12750 (60000ms 12750 stored)
1557678138:    pump 60000ms 30% 10750 80% (60000ms 30% 10750 80% stored)
1557678138:    rate 2mbar/s (2mbar/s stored)
1557678138:    surface 500mbar (500mbar stored)
1557678138:    near 1500mbar 3mbar/s (15000mbar 3mbar/s stored)
1557678138:    far 2500mbar 4mbar/s (25000mbar 4mbar/s stored)
1557678138:    ascent 8mbar/s (8mbar/s stored)
1557678138:    dead 60s (300s stored)
1557678138:    coeff 16/10 (16/10 stored)
1557678138:    stab 10 (10 stored)
1557678138:    delay 900s 3600s (900s 3600s stored)
1557678138:    mmtime 2880min (2880min stored)
1557678138:    dv_landing 100ml (100ml stored)
1557678138:    p2t37: 15x2000ms, offset 50mbar
1557678138:    p2t37: dp 50mbar, dt 5000mdegC
1557678138:    stage[0] 5000mbar (+/-500mbar) 1800s (<1800s)
1557678138:    stage[1] 5000mbar (+/-500mbar) 1800s (<3600s)
1557678138:[MAIN  ,626]turn off bluetooth
1557678141:[PRESS , 81]P   +110mbar,T -9880mdegC
1557678145:[PRESS , 95]P   +110mbar,T+28966mdegC
1557678152:[PRESS , 95]P   +120mbar,T -9880mdegC
1557678154:[PRESS , 95]P   +110mbar,T+28966mdegC
1557678156:[PRESS , 95]P   +110mbar,T +2275mdegC
1557678157:[PRESS , 95]P   +100mbar,T+28966mdegC
1557678166:[BYPASS,147]opening 180000ms
1557678168:[MONITR,461]battery 14366mV,  288286uA
1557678173:[MONITR,461]battery 14867mV,   33550uA
1557678352:[MONITR,461]battery 14465mV,  225212uA
1557678358:[PRESS , 95]P   +120mbar,T -9880mdegC
1557678359:[PRESS , 95]P   +130mbar,T+28966mdegC
1557678361:[PRESS , 95]P   +140mbar,T +2275mdegC
1557678363:[PRESS , 95]P   +160mbar,T -9880mdegC
1557678365:[PRESS , 95]P   +160mbar,T+28966mdegC
1557678374:[PRESS , 81]P   +230mbar,T+28966mdegC
1557678376:[PRESS , 95]P   +230mbar,T -9880mdegC
1557678377:[PRESS , 95]P   +270mbar,T +2275mdegC
1557678379:[PRESS , 95]P   +280mbar,T+28966mdegC
1557678383:[PRESS , 95]P   +300mbar,T -9880mdegC
1557678386:[PRESS , 95]P   +320mbar,T+28966mdegC
1557678391:[PRESS , 95]P   +350mbar,T +2275mdegC
1557678394:[PRESS , 95]P   +370mbar,T+28966mdegC
1557678397:[PRESS , 95]P   +390mbar,T -9880mdegC
1557678400:[PRESS , 95]P   +420mbar,T +2275mdegC
1557678402:[PRESS , 95]P   +420mbar,T+28966mdegC
1557678405:[PRESS , 95]P   +440mbar,T -9880mdegC
1557678411:[PRESS , 95]P   +490mbar,T +2275mdegC
1557678414:[PRESS , 95]P   +510mbar,T+28966mdegC
1557678415:[DIVING,157]520mbar reached (+7mbar/s), 1 bypass done
1557678416:[MAIN  ,646]stage[0]
1557678418:[MAIN  ,651]internal pressure 82113Pa
1557678419:[BUOY  ,677]P   +540mbar
1557678421:[PRESS , 95]P   +560mbar,T -9880mdegC
1557678481:[PRESS , 81]P  +1050mbar,T -9880mdegC
1557678483:[PRESS , 95]P  +1050mbar,T +2275mdegC
1557678485:[PRESS , 95]P  +1060mbar,T+28966mdegC
1557678489:[PRESS , 95]P  +1100mbar,T -9880mdegC
1557678494:[PRESS , 95]P  +1140mbar,T+28966mdegC
1557678503:[PRESS , 95]P  +1190mbar,T -9880mdegC
1557678506:[PRESS , 95]P  +1200mbar,T+28966mdegC
1557678567:[PRESS , 81]P  +1520mbar,T -9880mdegC
1557678569:[PRESS , 95]P  +1530mbar,T+28966mdegC
1557678572:[PRESS , 95]P  +1550mbar,T -9880mdegC
1557678574:[PRESS , 95]P  +1550mbar,T+28966mdegC
1557678576:[PRESS , 95]P  +1560mbar,T -9880mdegC
1557678578:[PRESS , 95]P  +1560mbar,T+28966mdegC
1557678581:[PRESS , 95]P  +1600mbar,T+16808mdegC
1557678583:[PRESS , 95]P  +1590mbar,T+28966mdegC
1557678585:[PRESS , 95]P  +1600mbar,T +2275mdegC
1557678587:[PRESS , 95]P  +1610mbar,T+28966mdegC
1557678589:[PRESS , 95]P  +1620mbar,T -9880mdegC
1557678592:[PRESS , 95]P  +1650mbar,T+28966mdegC
1557678653:[PRESS , 81]P  +1930mbar,T -9880mdegC
1557678655:[PRESS , 95]P  +1950mbar,T +2275mdegC
1557678657:[PRESS , 95]P  +1960mbar,T -9880mdegC
1557678658:[PRESS , 95]P  +1970mbar,T+28966mdegC
1557678660:[PRESS , 95]P  +1990mbar,T -9880mdegC
1557678662:[PRESS , 95]P  +2000mbar,T+28966mdegC
1557678666:[PRESS , 95]P  +2030mbar,T -9880mdegC
1557678667:[PRESS , 95]P  +2030mbar,T+28966mdegC
1557678671:[PRESS , 95]P  +2060mbar,T -9880mdegC
1557678673:[PRESS , 95]P  +2070mbar,T +2275mdegC
1557678675:[PRESS , 95]P  +2070mbar,T+28966mdegC
1557678676:[PRESS , 95]P  +2080mbar,T -9880mdegC
1557678678:[PRESS , 95]P  +2090mbar,T+28966mdegC
1557678739:[PRESS , 81]P  +2400mbar,T+28966mdegC
1557678751:[PRESS , 81]P  +2460mbar,T+28966mdegC
1557678753:[PRESS , 95]P  +2480mbar,T -9880mdegC
1557678755:[PRESS , 95]P  +2490mbar,T+28966mdegC
1557678758:[PRESS , 95]P  +2510mbar,T -9880mdegC
1557678760:[PRESS , 95]P  +2530mbar,T+28966mdegC
1557678762:[PRESS , 95]P  +2530mbar,T -9880mdegC
1557678764:[PRESS , 95]P  +2550mbar,T+28966mdegC
1557678766:[MONITR,461]battery 14987mV,   36234uA
1557678772:[PUMP  ,367]during 56266ms
1557678773:[MONITR,461]battery 14505mV,  190320uA
1557678774:[MONITR,461]battery 14297mV,  290848uA
1557678829:[MONITR,461]battery 14730mV,  130174uA
1557678832:[PRESS , 81]P  +2900mbar,T+28966mdegC
1557678839:[PRESS , 81]P  +2960mbar,T+28966mdegC
1557678843:[PRESS , 95]P  +2970mbar,T -9880mdegC
1557678844:[PRESS , 95]P  +2980mbar,T +2275mdegC
1557678846:[PRESS , 95]P  +2990mbar,T+28966mdegC
1557678848:[PRESS , 95]P  +3000mbar,T +2275mdegC
1557678855:[PRESS , 95]P  +3030mbar,T+28966mdegC
1557678857:[PRESS , 95]P  +3040mbar,T -9880mdegC
1557678865:[PUMP  ,367]during 32639ms
1557678867:[MONITR,461]battery 14356mV,  299632uA
1557678899:[MONITR,461]battery 14777mV,   66490uA
1557678921:[PRESS , 81]P  +3280mbar,T -9880mdegC
1557678924:[PRESS , 95]P  +3290mbar,T+28966mdegC
1557678926:[PRESS , 95]P  +3300mbar,T -9880mdegC
1557678928:[PRESS , 95]P  +3300mbar,T +2275mdegC
1557678930:[PRESS , 95]P  +3320mbar,T -9880mdegC
1557678932:[PRESS , 95]P  +3310mbar,T+28966mdegC
1557678933:[PRESS , 95]P  +3320mbar,T +2275mdegC
1557678935:[PRESS , 95]P  +3330mbar,T+28966mdegC
1557678939:[PRESS , 95]P  +3340mbar,T -9880mdegC
1557678941:[PRESS , 95]P  +3350mbar,T+28966mdegC
1557678946:[PRESS , 95]P  +3370mbar,T +2275mdegC
1557679007:[PRESS , 81]P  +3580mbar,T +2275mdegC
1557679008:[PRESS , 95]P  +3580mbar,T+28966mdegC
1557679016:[PRESS , 95]P  +3620mbar,T +2275mdegC
1557679017:[PRESS , 95]P  +3630mbar,T+28966mdegC
1557679023:[PRESS , 95]P  +3650mbar,T -9880mdegC
1557679024:[PRESS , 95]P  +3650mbar,T-24417mdegC
1557679026:[PRESS , 95]P  +3650mbar,T +2275mdegC
1557679028:[PRESS , 95]P  +3660mbar,T+28966mdegC
1557679030:[PRESS , 95]P  +3670mbar,T +2275mdegC
1557679032:[PRESS , 95]P  +3670mbar,T+28966mdegC
1557679040:[PUMP  ,367]during 25125ms
1557679041:[MONITR,461]battery 14277mV,  303170uA
1557679067:[MONITR,461]battery 14818mV,   66002uA
1557679096:[PRESS , 81]P  +3850mbar,T+28966mdegC
1557679099:[PRESS , 95]P  +3870mbar,T -9880mdegC
1557679103:[PRESS , 95]P  +3880mbar,T+28966mdegC
1557679119:[PRESS , 95]P  +3930mbar,T +2275mdegC
1557679120:[PRESS , 95]P  +3930mbar,T -9880mdegC
1557679181:[PRESS , 81]P  +4140mbar,T+28966mdegC
1557679185:[PRESS , 95]P  +4140mbar,T +2275mdegC
1557679187:[PRESS , 95]P  +4140mbar,T -9880mdegC
1557679194:[PRESS , 95]P  +4170mbar,T+28966mdegC
1557679195:[PRESS , 95]P  +4170mbar,T -9880mdegC
1557679201:[PRESS , 95]P  +4190mbar,T+28966mdegC
1557679204:[PRESS , 95]P  +4190mbar,T +2275mdegC
1557679206:[PRESS , 95]P  +4200mbar,T+28966mdegC
1557679267:[PRESS , 81]P  +4360mbar,T+28966mdegC
1557679270:[PRESS , 95]P  +4370mbar,T +2275mdegC
1557679272:[PRESS , 95]P  +4370mbar,T+28966mdegC
1557679274:[PRESS , 95]P  +4370mbar,T -9880mdegC
1557679276:[PRESS , 95]P  +4390mbar,T+28966mdegC
1557679278:[PRESS , 95]P  +4380mbar,T +2275mdegC
1557679280:[PRESS , 95]P  +4400mbar,T+28966mdegC
