1557683912:[MAIN  ,111]board 452.210-P-0014
1557683913:[MAIN  ,112]soft 452.012.300.1686-20190318
1557683913:[MAIN  ,113]cycle 5
1557683914:[MONITR,461]battery 14632mV,  162626uA
1557683919:[SURF  ,428]GPS fix...
1557683963:[SURF  ,445]10 PPS detected...
1557683964:[MRMAID,645]$GPSACK:+0,+0,+0,+0,+0,+0,+0;
1557683974:[MRMAID,650]$GPSOFF:3686342;
1557683976:[SURF  ,400]N43deg40.929mn, E007deg19.184mn
1557683976:[SURF  ,407]hdop 1.360, vdop 1.530
1557683986:[SURF  ,260]Iridium...
1557684022:[SURF  ,317]connected in 36s, signal quality 5
1557684064:[MRMAID,664]$TRIG:1,1;
1557684066:[MRMAID,664]$DTRIG:1,2;
1557684068:[MRMAID,664]$SCALES:2;
1557684093:[SURF  ,334]16 cmd(s) received
1557684127:[MONITR,461]battery 14442mV,  269376uA
1557684309:[MONITR,461]battery 14512mV,  169214uA
1557684315:[MONITR,461]battery 14370mV,  275110uA
1557684403:[MONITR,461]battery 14515mV,  163358uA
1557684419:[SURF  ,351]2 file(s) uploaded
1557684452:[SURF  ,372]disconnected after 466s
1557684454:[MONITR,461]battery 14773mV,   32818uA
1557684460:[MONITR,461]battery 14565mV,  140422uA
1557684464:[SURF  ,428]GPS fix...
1557684503:[SURF  ,445]10 PPS detected...
1557684504:[MRMAID,645]$GPSACK:+0,+0,+0,+0,+0,+1,-999969;
1557684514:[MRMAID,650]$GPSOFF:3686341;
1557684516:[SURF  ,400]N43deg40.929mn, E007deg19.186mn
1557684516:[SURF  ,407]hdop 1.060, vdop 1.500
1557684527:[MONITR,461]battery 14813mV,   32452uA
1557684533:[MAIN  ,598]internal pressure 79599Pa
1557684534:    bypass 10000ms 180000ms (20000ms 60000ms stored)
1557684534:    valve 60000ms 12750 (60000ms 12750 stored)
1557684534:    pump 60000ms 30% 10750 80% (60000ms 30% 10750 80% stored)
1557684534:    rate 2mbar/s (2mbar/s stored)
1557684534:    surface 500mbar (500mbar stored)
1557684534:    near 1500mbar 3mbar/s (15000mbar 3mbar/s stored)
1557684534:    far 2500mbar 4mbar/s (25000mbar 4mbar/s stored)
1557684534:    ascent 8mbar/s (8mbar/s stored)
1557684534:    dead 60s (300s stored)
1557684534:    coeff 16/10 (16/10 stored)
1557684534:    stab 10 (10 stored)
1557684534:    delay 900s 3600s (900s 3600s stored)
1557684534:    mmtime 2880min (2880min stored)
1557684534:    dv_landing 100ml (100ml stored)
1557684534:    p2t37: 15x2000ms, offset 50mbar
1557684534:    p2t37: dp 50mbar, dt 5000mdegC
1557684534:    stage[0] 5000mbar (+/-500mbar) 1800s (<1800s)
1557684534:    stage[1] 5000mbar (+/-500mbar) 1800s (<3600s)
1557684534:[MAIN  ,626]turn off bluetooth
1557684537:[PRESS , 81]P    +90mbar,T+28966mdegC
1557684539:[PRESS , 95]P   +100mbar,T -9880mdegC
1557684541:[PRESS , 95]P   +110mbar,T+28966mdegC
1557684543:[PRESS , 95]P   +110mbar,T -9880mdegC
1557684545:[PRESS , 95]P   +100mbar,T+28966mdegC
1557684552:[PRESS , 95]P   +100mbar,T +2275mdegC
1557684553:[PRESS , 95]P   +100mbar,T+28966mdegC
1557684557:[PRESS , 95]P   +100mbar,T +2275mdegC
1557684562:[BYPASS,147]opening 180000ms
