1560245040:[MAIN  ,361]board 452.020-P-0051
1560245040:[MAIN  ,362]soft 452.012.300.1687M-20190611
1560245040:[MAIN  ,367]date 2019-06-11T09:24:00
1560245046:[MAIN  ,378]battery 15388mV,   10858uA
1560245048:[MAIN  ,408]internal pressure 81029Pa
1560245050:[PRESS , 81]P    +90mbar,T -3966mdegC
1560245053:[MRMAID,664]$BOARD:452116600-51;
1560245053:[MRMAID,664]$SOFT:2.1344;
1560245063:[TESTMD,364]"act"
1560245063:[SURFIN, 82]filling external bladder
1560245064:[OILLVL,113]0/5 hit(s), unswitched
1560245065:[MONITR,461]battery 15390mV,   12200uA
1560245066:[OILLVL,113]0/5 hit(s), unswitched
1560245067:[OILLVL,113]0/5 hit(s), unswitched
1560245072:[PUMP  ,367]during 300000ms
1560245072:[MONITR,461]battery 15225mV,  305610uA
1560245073:[OILLVL,113]0/5 hit(s), unswitched
1560245074:[MONITR,461]battery 14832mV, 1503162uA
1560245074:[OILLVL,113]0/5 hit(s), unswitched
1560245075:[OILLVL,113]3/5 hit(s), switched
1560245076:[OILLVL,113]5/5 hit(s), switched
1560245077:[OILLVL,113]5/5 hit(s), switched
1560245078:[MONITR,461]battery 15117mV,  504470uA
1560245079:[SURFIN,117]external bladder full
1560245079:[MONITR,461]battery 15296mV,   52216uA
1560245084:[VALVE ,129]opening for 30000ms
1560245086:[MONITR,461]battery 15060mV,  638914uA
1560245115:[MONITR,461]battery 15158mV,  265838uA
1560245119:[SURFIN, 82]filling external bladder
1560245120:[OILLVL,113]0/5 hit(s), unswitched
1560245120:[MONITR,461]battery 15293mV,   12444uA
1560245121:[OILLVL,113]0/5 hit(s), unswitched
1560245122:[OILLVL,113]0/5 hit(s), unswitched
1560245127:[PUMP  ,367]during 300000ms
1560245128:[OILLVL,113]0/5 hit(s), unswitched
1560245129:[MONITR,461]battery 14912mV,  980392uA
1560245129:[OILLVL,113]0/5 hit(s), unswitched
1560245130:[MONITR,461]battery 14751mV, 1549034uA
1560245130:[OILLVL,113]0/5 hit(s), unswitched
1560245132:[OILLVL,113]0/5 hit(s), unswitched
1560245133:[OILLVL,113]0/5 hit(s), unswitched
1560245134:[OILLVL,113]0/5 hit(s), unswitched
1560245135:[OILLVL,113]0/5 hit(s), unswitched
1560245136:[OILLVL,113]0/5 hit(s), unswitched
1560245137:[OILLVL,113]5/5 hit(s), switched
1560245138:[OILLVL,113]5/5 hit(s), switched
1560245139:[OILLVL,113]5/5 hit(s), switched
1560245140:[MONITR,461]battery 14982mV,  539728uA
1560245141:[SURFIN,117]external bladder full
1560245141:[TESTMD, 60]pump run 12s
1560245141:[MONITR,461]battery 15166mV,   53314uA
1560245146:[BYPASS,147]opening 30000ms
1560245148:[MONITR,461]battery 15043mV,  342698uA
1560245153:[MONITR,461]battery 15223mV,   14152uA
