1564748565:[MAIN  ,111]board 452.020-P-0051
1564748566:[MAIN  ,112]soft 452.012.300.1690-20190724
1564748566:[MAIN  ,113]cycle 49
1564748576:[MONITR,461]battery 14838mV,  196786uA
1564748578:[SURF  ,428]GPS fix...
1564749027:[GPSFIX, 98]<ERR>1800 rounds, 449s
1564749027:[SURF  ,447]<WRN>GPS fix ret -1
1564749477:[GPSFIX, 98]<ERR>1800 rounds, 450s
1564749477:[SURF  ,463]<WRN>no MRMD GPS
1564749927:[GPSFIX, 98]<ERR>1800 rounds, 450s
1564749927:[SURF  ,471]<WRN>GPS fix ret -1
1564749937:[SURF  ,260]Iridium...
1564750010:[SURF  ,295]<WRN>failed to connect #1, code -5, net 4, qual -1, dial -1
1564750011:[MONITR,461]battery 15023mV,   15738uA
1564750016:[MONITR,461]battery 14895mV,  122732uA
1564750090:[SURF  ,295]<WRN>failed to connect #2, code -5, net 4, qual -1, dial -1
1564750092:[MONITR,461]battery 15033mV,   13908uA
1564750095:[MONITR,461]battery 14951mV,  137372uA
1564750169:[SURF  ,295]<WRN>failed to connect #3, code -5, net 4, qual -1, dial -1
1564750171:[MONITR,461]battery 15031mV,   14762uA
1564750176:[MONITR,461]battery 14877mV,  145424uA
1564750249:[SURF  ,295]<WRN>failed to connect #4, code -5, net 4, qual -1, dial -1
1564750251:[MONITR,461]battery 15030mV,   15860uA
1564750255:[MONITR,461]battery 14891mV,  132858uA
1564750329:[SURF  ,295]<WRN>failed to connect #5, code -5, net 4, qual -1, dial -1
1564750331:[MONITR,461]battery 15033mV,   14762uA
1564750334:[SURF  ,312]<ERR>no connection after 5x60 tries (397s)
1564750339:[SURF  ,620]transfer interrupted, retry now
1564750340:[MONITR,461]battery 14907mV,  122244uA
1564750349:[SURF  ,428]GPS fix...
1564750799:[GPSFIX, 98]<ERR>1800 rounds, 450s
1564750799:[SURF  ,447]<WRN>GPS fix ret -1
1564751249:[GPSFIX, 98]<ERR>1800 rounds, 450s
1564751249:[SURF  ,463]<WRN>no MRMD GPS
1564751699:[GPSFIX, 98]<ERR>1800 rounds, 450s
1564751699:[SURF  ,471]<WRN>GPS fix ret -1
1564751709:[SURF  ,260]Iridium...
1564751782:[SURF  ,295]<WRN>failed to connect #1, code -5, net 4, qual -1, dial -1
1564751784:[MONITR,461]battery 15030mV,   13542uA
1564751789:[MONITR,461]battery 14870mV,  151158uA
1564751862:[SURF  ,295]<WRN>failed to connect #2, code -5, net 4, qual -1, dial -1
1564751863:[MONITR,461]battery 15001mV,   34160uA
1564751869:[MONITR,461]battery 14872mV,  152134uA
1564751942:[SURF  ,295]<WRN>failed to connect #3, code -5, net 4, qual -1, dial -1
1564751944:[MONITR,461]battery 15030mV,   15128uA
1564751948:[MONITR,461]battery 14890mV,  134078uA
1564752022:[SURF  ,295]<WRN>failed to connect #4, code -5, net 4, qual -1, dial -1
1564752023:[MONITR,461]battery 15021mV,   17812uA
1564752028:[MONITR,461]battery 14921mV,  163114uA
1564752102:[SURF  ,295]<WRN>failed to connect #5, code -5, net 4, qual -1, dial -1
1564752103:[MONITR,461]battery 15032mV,   15128uA
1564752107:[SURF  ,312]<ERR>no connection after 5x60 tries (398s)
1564752112:[SURF  ,620]transfer interrupted, retry now
1564752113:[MONITR,461]battery 14900mV,  136884uA
1564752123:[SURF  ,428]GPS fix...
1564752573:[GPSFIX, 98]<ERR>1800 rounds, 450s
1564752573:[SURF  ,447]<WRN>GPS fix ret -1
1564753023:[GPSFIX, 98]<ERR>1800 rounds, 450s
1564753023:[SURF  ,463]<WRN>no MRMD GPS
1564753473:[GPSFIX, 98]<ERR>1800 rounds, 450s
1564753473:[SURF  ,471]<WRN>GPS fix ret -1
1564753483:[SURF  ,260]Iridium...
1564753556:[SURF  ,295]<WRN>failed to connect #1, code -5, net 4, qual -1, dial -1
1564753558:[MONITR,461]battery 15026mV,   15250uA
1564753562:[MONITR,461]battery 14886mV,  136518uA
1564753636:[SURF  ,295]<WRN>failed to connect #2, code -5, net 4, qual -1, dial -1
1564753638:[MONITR,461]battery 15027mV,   15250uA
1564753643:[MONITR,461]battery 14895mV,  129564uA
1564753716:[SURF  ,295]<WRN>failed to connect #3, code -5, net 4, qual -1, dial -1
1564753718:[MONITR,461]battery 15036mV,   13908uA
1564753722:[MONITR,461]battery 14933mV,  125904uA
1564753796:[SURF  ,295]<WRN>failed to connect #4, code -5, net 4, qual -1, dial -1
1564753798:[MONITR,461]battery 15030mV,   15982uA
1564753802:[MONITR,461]battery 14896mV,  132248uA
1564753876:[SURF  ,295]<WRN>failed to connect #5, code -5, net 4, qual -1, dial -1
1564753878:[MONITR,461]battery 15035mV,   14884uA
1564753881:[SURF  ,312]<ERR>no connection after 5x60 tries (398s)
1564753886:[SURF  ,620]transfer interrupted, retry now
1564753887:[MONITR,461]battery 14911mV,  122244uA
1564753896:[SURF  ,428]GPS fix...
1564754346:[GPSFIX, 98]<ERR>1800 rounds, 450s
1564754346:[SURF  ,447]<WRN>GPS fix ret -1
1564754796:[GPSFIX, 98]<ERR>1800 rounds, 450s
1564754796:[SURF  ,463]<WRN>no MRMD GPS
1564755246:[GPSFIX, 98]<ERR>1800 rounds, 450s
1564755246:[SURF  ,471]<WRN>GPS fix ret -1
1564755258:[MONITR,461]battery 15040mV,   13176uA
1564755261:[MAIN  ,564]<WRN>incomplete IRIDIUM transfer
1564755264:[MAIN  ,598]internal pressure 76361Pa
1564755265:    bypass 10000ms 100000ms (20000ms 60000ms stored)
1564755265:    valve 60000ms 12750 (60000ms 12750 stored)
1564755265:    pump 60000ms 30% 10750 80% (60000ms 30% 10750 80% stored)
1564755265:    rate 2mbar/s (2mbar/s stored)
1564755265:    surface 500mbar (500mbar stored)
1564755265:    near 1500mbar 3mbar/s (15000mbar 3mbar/s stored)
1564755265:    far 2500mbar 4mbar/s (25000mbar 4mbar/s stored)
1564755265:    ascent 8mbar/s (8mbar/s stored)
1564755265:    dead 60s (300s stored)
1564755265:    coeff 16/10 (16/10 stored)
1564755265:    stab 10 (10 stored)
1564755265:    delay 900s 3600s (900s 3600s stored)
1564755265:    mmtime 2880min (2880min stored)
1564755265:    p2t37: 15x2000ms, offset 0mbar
1564755265:    p2t37: dp 50mbar, dt 5000mdegC
1564755265:    stage[0] 5000mbar (+/-500mbar) 1800s (<1800s)
1564755265:    stage[1] 5000mbar (+/-500mbar) 1800s (<3600s)
1564755266:[MAIN  ,626]turn off bluetooth
1564755268:[PRESS , 95]P  +7250mbar,T+10611mdegC
1564755270:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564755272:[PRESS , 95]P  +7260mbar,T+10611mdegC
1564755284:[PRESS , 95]P  +7240mbar,T-14077mdegC
1564755288:[PRESS , 95]P  +7250mbar,T+10611mdegC
1564755290:[PRESS , 95]P  +7240mbar,T-14077mdegC
1564755297:[DIVING,157]7250mbar reached (+0mbar/s), 0 bypass done
1564755297:[MAIN  ,646]stage[0]
1564755300:[MAIN  ,651]internal pressure 76372Pa
1564755301:[BUOY  ,656]P  +7240mbar
1564755344:[PRESS , 95]P  +7240mbar,T+10611mdegC
1564755346:[PRESS , 95]P  +7240mbar,T-14077mdegC
1564755348:[PRESS , 95]P  +7250mbar,T+10611mdegC
1564755352:[PRESS , 95]P  +7240mbar,T-14077mdegC
1564755353:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564755355:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564755359:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564755362:[PRESS , 95]P  +7240mbar,T+10611mdegC
1564755404:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564755411:[PRESS , 95]P  +7270mbar,T+10611mdegC
1564755413:[PRESS , 95]P  +7230mbar,T-14077mdegC
1564755417:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564755419:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564755421:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564755422:[PRESS , 95]P  +7250mbar,T+10611mdegC
1564755424:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564755426:[PRESS , 95]P  +7240mbar,T+10611mdegC
1564755428:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564755470:[PRESS , 95]P  +7250mbar,T+10611mdegC
1564755472:[PRESS , 95]P  +7230mbar,T-14077mdegC
1564755474:[PRESS , 95]P  +7250mbar,T+10611mdegC
1564755475:[PRESS , 95]P  +7270mbar,T-14077mdegC
1564755481:[PRESS , 95]P  +7240mbar,T+26768mdegC
1564755483:[PRESS , 95]P  +7240mbar,T+10611mdegC
1564755486:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564755488:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564755490:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564755532:[PRESS , 95]P  +7240mbar,T+10611mdegC
1564755534:[PRESS , 95]P  +7240mbar,T-14077mdegC
1564755535:[PRESS , 95]P  +7260mbar,T+10611mdegC
1564755537:[PRESS , 95]P  +7230mbar,T-14077mdegC
1564755544:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564755546:[PRESS , 95]P  +7230mbar,T-14077mdegC
1564755548:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564755552:[PRESS , 95]P  +7250mbar,T+10611mdegC
1564755553:[PRESS , 95]P  +7240mbar,T-14077mdegC
1564755555:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564755557:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564755593:[PRESS , 95]P  +7280mbar,T+10611mdegC
1564755597:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564755602:[PRESS , 95]P  +7260mbar,T+10611mdegC
1564755606:[PRESS , 95]P  +7280mbar,T-14077mdegC
1564755608:[PRESS , 95]P  +7280mbar,T+10611mdegC
1564755609:[PRESS , 95]P  +7280mbar,T-14077mdegC
1564755617:[PRESS , 95]P  +7270mbar,T+10611mdegC
1564755618:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564755657:[PRESS , 95]P  +7270mbar,T+10611mdegC
1564755659:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564755661:[PRESS , 95]P  +7250mbar,T+10611mdegC
1564755664:[PRESS , 95]P  +7270mbar,T-14077mdegC
1564755668:[PRESS , 95]P  +7270mbar,T+10611mdegC
1564755670:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564755671:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564755675:[PRESS , 95]P  +7270mbar,T+10611mdegC
1564755677:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564755679:[PRESS , 95]P  +7250mbar,T+10611mdegC
1564755682:[PRESS , 95]P  +7280mbar,T+26768mdegC
1564755721:[PRESS , 95]P  +7260mbar,T+10611mdegC
1564755723:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564755726:[PRESS , 95]P  +7250mbar,T+10611mdegC
1564755732:[PRESS , 95]P  +7270mbar,T-14077mdegC
1564755741:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564755742:[PRESS , 95]P  +7270mbar,T-14077mdegC
1564755744:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564755746:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564755785:[PRESS , 95]P  +7260mbar,T+10611mdegC
1564755787:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564755788:[PRESS , 95]P  +7270mbar,T+26768mdegC
1564755790:[PRESS , 95]P  +7280mbar,T-14077mdegC
1564755797:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564755799:[PRESS , 95]P  +7280mbar,T-14077mdegC
1564755801:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564755804:[PRESS , 95]P  +7270mbar,T+10611mdegC
1564755806:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564755808:[PRESS , 95]P  +7270mbar,T-14077mdegC
1564755810:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564755812:[MONITR,461]battery 15298mV,    3782uA
1564755849:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564755850:[PRESS , 95]P  +7270mbar,T+10611mdegC
1564755852:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564755854:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564755859:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564755865:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564755868:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564755870:[PRESS , 95]P  +7270mbar,T-14077mdegC
1564755872:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564755874:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564755925:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564755927:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564755929:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564755934:[PRESS , 95]P  +7270mbar,T-14077mdegC
1564755936:[PRESS , 95]P  +7270mbar,T+26768mdegC
1564755976:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564755980:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564755982:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564755985:[PRESS , 95]P  +7260mbar,T+10611mdegC
1564755987:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564755992:[PRESS , 95]P  +7270mbar,T-14077mdegC
1564755994:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564755998:[PRESS , 95]P  +7270mbar,T-14077mdegC
1564756000:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564756001:[PRESS , 95]P  +7260mbar,T +2077mdegC
1564756040:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564756044:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564756046:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564756051:[PRESS , 95]P  +7260mbar,T+26768mdegC
