1580385176:[MAIN  ,111]board 452.020-P-0057
1580385177:[MAIN  ,112]soft 452.012.300.1690-20190724
1580385177:[MAIN  ,113]cycle 2
1580385179:[MONITR,461]battery 14950mV,  119438uA
1580385190:[SURF  ,428]GPS fix...
1580385210:[SURF  ,445]10 PPS detected...
1580385211:[MRMAID,645]$GPSACK:+0,+0,+0,+0,+0,+0,+0;
1580385221:[MRMAID,650]$GPSOFF:3686294;
1580385223:[SURF  ,400]N43deg40.939mn, E007deg19.170mn
1580385223:[SURF  ,407]hdop 0.680, vdop 0.920
1580385233:[SURF  ,260]Iridium...
1580385271:[SURF  ,317]connected in 38s, signal quality 5
1580385307:[MRMAID,664]$TRIG:1,1;
1580385309:[MRMAID,664]$DTRIG:1,2;
1580385311:[MRMAID,664]$SCALES:2;
1580385332:[SURF  ,334]16 cmd(s) received
1580385361:[MONITR,461]battery 14908mV,  247660uA
1580385494:[MONITR,461]battery 14912mV,  128466uA
1580385495:[MONITR,461]battery 14852mV,  244244uA
1580385623:[MONITR,461]battery 14886mV,  135420uA
1580385639:[SURF  ,351]2 file(s) uploaded
1580385669:[SURF  ,372]disconnected after 436s
1580385671:[MONITR,461]battery 15077mV,    2318uA
1580385676:[MONITR,461]battery 14937mV,  137128uA
1580385692:[SURF  ,428]GPS fix...
1580385712:[SURF  ,445]10 PPS detected...
1580385713:[MRMAID,645]$GPSACK:+0,+0,+0,+0,+0,+1,-999938;
1580385723:[MRMAID,650]$GPSOFF:3686293;
1580385725:[SURF  ,400]N43deg40.938mn, E007deg19.170mn
1580385725:[SURF  ,407]hdop 0.640, vdop 0.870
1580385736:[MONITR,461]battery 15113mV,    1952uA
1580385742:[MAIN  ,598]internal pressure 77093Pa
1580385743:    bypass 10000ms 100000ms (20000ms 60000ms stored)
1580385743:    valve 60000ms 12750 (60000ms 12750 stored)
1580385743:    pump 60000ms 30% 10750 80% (60000ms 30% 10750 80% stored)
1580385743:    rate 2mbar/s (2mbar/s stored)
1580385743:    surface 500mbar (500mbar stored)
1580385743:    near 1500mbar 3mbar/s (15000mbar 3mbar/s stored)
1580385743:    far 2500mbar 4mbar/s (25000mbar 4mbar/s stored)
1580385744:    ascent 8mbar/s (8mbar/s stored)
1580385744:    dead 60s (300s stored)
1580385744:    coeff 16/10 (16/10 stored)
1580385744:    stab 10 (10 stored)
1580385745:    delay 900s 3600s (900s 3600s stored)
1580385745:    mmtime 2880min (2880min stored)
1580385745:    p2t37: 15x2000ms, offset 40mbar
1580385745:    p2t37: dp 50mbar, dt 5000mdegC
1580385745:    stage[0] 5000mbar (+/-500mbar) 1800s (<1800s)
1580385745:    stage[1] 5000mbar (+/-500mbar) 1800s (<3600s)
1580385745:[MAIN  ,626]turn off bluetooth
1580385748:[PRESS , 95]P    +80mbar,T+11528mdegC
1580385751:[PRESS , 95]P    +70mbar,T-15012mdegC
1580385753:[PRESS , 95]P    +70mbar,T+11528mdegC
1580385756:[PRESS , 95]P    +70mbar,T-15012mdegC
1580385762:[PRESS , 95]P    +70mbar,T+11528mdegC
1580385764:[PRESS , 95]P    +70mbar,T-15012mdegC
1580385767:[PRESS , 95]P    +70mbar,T+11528mdegC
1580385773:[PRESS , 95]P    +70mbar,T-15012mdegC
1580385773:[BYPASS,149]opening 100000ms
1580385774:[MONITR,461]battery 14860mV,  309514uA
1580385779:[MONITR,461]battery 15068mV,   68320uA
1580385879:[MONITR,461]battery 14947mV,  284260uA
1580385883:[MONITR,461]battery 15056mV,  154086uA
1580385884:[PRESS , 81]P    -80mbar,T+11528mdegC
1580385890:[PRESS , 95]P    -80mbar,T-15012mdegC
1580385891:[PRESS , 95]P    -70mbar,T+11528mdegC
1580385905:[PRESS , 95]P    -70mbar,T-27468mdegC
