1589786657:[MONITR,0197]reboot code 0x0000, src/monitor.c@520
1589786657:[MAIN  ,0007]buoy 452.020-P-0060
1589786657:[MAIN  ,0055]soft pilotage 452.012.300_V2.16M-20200518
1589786657:[MAIN  ,0011]date 2020-05-18T07:24:17
1589786663:[MAIN  ,0006]battery 14860mV,   10980uA
1589786666:[MAIN  ,0024]internal pressure 101288Pa
1589786671:<ERR>[PRESS ,0246]pressure sensor 37 error
1589786671:<WARN>[NAV   ,0013]#1/3
1589786675:<ERR>[PRESS ,0246]pressure sensor 37 error
1589786675:<WARN>[NAV   ,0013]#2/3
1589786679:<ERR>[PRESS ,0246]pressure sensor 37 error
1589786679:<WARN>[NAV   ,0013]#3/3
1589786685:<ERR>[NAV   ,0120]no pressure after 3 tries
1589786685:<ERR>[MAIN  ,0134]P2T 1537
1589786685:<ERR>[SOS   ,0199]TRIGGERED BY src/main.c@440
1589786685:<ERR>[SOS   ,0153]REBOOT
