1592221755:[MONITR,0197]reboot code 0x0000, src/monitor.c@520
1592221755:[MAIN  ,0007]buoy 452.020-P-0060
1592221755:[MAIN  ,0055]soft pilotage 452.012.300_V2.18M-20200612
1592221755:[MAIN  ,0011]date 2020-06-15T11:49:15
1592221761:[MAIN  ,0006]battery 14858mV,    7198uA
1592221763:[MAIN  ,0024]internal pressure 100851Pa
1592221768:<ERR>[PRESS ,0246]pressure sensor 37 error
1592221769:<WARN>[NAV   ,0013]#1/3
1592221773:<ERR>[PRESS ,0246]pressure sensor 37 error
1592221773:<WARN>[NAV   ,0013]#2/3
1592221777:<ERR>[PRESS ,0246]pressure sensor 37 error
1592221777:<WARN>[NAV   ,0013]#3/3
1592221783:<ERR>[NAV   ,0120]no pressure after 3 tries
1592221783:<ERR>[MAIN  ,0134]P2T 1537
1592221783:<ERR>[SOS   ,0199]TRIGGERED BY src/main.c@440
1592221783:<ERR>[SOS   ,0153]REBOOT
