1592400696:[MONITR,0197]reboot code 0x0000, src/monitor.c@520
1592400696:[MAIN  ,0007]buoy 452.020-P-0060
1592400696:[MAIN  ,0055]soft pilotage 452.012.300_V2.18M-20200612
1592400696:[MAIN  ,0011]date 2020-06-17T13:31:36
1592400702:[MAIN  ,0006]battery 14855mV,    8174uA
1592400705:[MAIN  ,0024]internal pressure 100686Pa
1592400710:<ERR>[PRESS ,0246]pressure sensor 37 error
1592400710:<WARN>[NAV   ,0013]#1/3
1592400714:<ERR>[PRESS ,0246]pressure sensor 37 error
1592400714:<WARN>[NAV   ,0013]#2/3
1592400718:<ERR>[PRESS ,0246]pressure sensor 37 error
1592400718:<WARN>[NAV   ,0013]#3/3
1592400724:<ERR>[NAV   ,0120]no pressure after 3 tries
1592400724:<ERR>[MAIN  ,0134]P2T 1537
1592400724:<ERR>[SOS   ,0199]TRIGGERED BY src/main.c@440
1592400724:<ERR>[SOS   ,0153]REBOOT
