1592469935:[MONITR,0197]reboot code 0x0000, src/monitor.c@520
1592469935:[MAIN  ,0007]buoy 452.020-P-0060
1592469935:[MAIN  ,0055]soft pilotage 452.012.300_V2.18M-20200612
1592469935:[MAIN  ,0011]date 2020-06-18T08:45:35
1592469941:[MAIN  ,0006]battery 14857mV,    4880uA
1592469944:[MAIN  ,0024]internal pressure 100866Pa
1592469949:<ERR>[PRESS ,0246]pressure sensor 37 error
1592469949:<WARN>[NAV   ,0013]#1/3
1592469953:<ERR>[PRESS ,0246]pressure sensor 37 error
1592469953:<WARN>[NAV   ,0013]#2/3
1592469957:<ERR>[PRESS ,0246]pressure sensor 37 error
1592469957:<WARN>[NAV   ,0013]#3/3
1592469963:<ERR>[NAV   ,0120]no pressure after 3 tries
1592469963:<ERR>[MAIN  ,0134]P2T 1537
1592469963:<ERR>[SOS   ,0199]TRIGGERED BY src/main.c@440
1592469963:<ERR>[SOS   ,0153]REBOOT
