1594289937:[MONITR,0197]reboot code 0x0000, src/monitor.c@520
1594289937:[MAIN  ,0007]buoy 452.120-R-0073
1594289937:[MAIN  ,0055]soft pilotage 452.012.300_V2.21M-20200708
1594289937:[MAIN  ,0011]date 2020-07-09T10:18:57
1594289943:[MAIN  ,0006]battery 15466mV,    7808uA
1594289946:[MAIN  ,0024]internal pressure 81131Pa
1594289947:[PRESS ,0038]P   +100mbar,T-29381mdegC
1594289948:[MRMAID,0182]thread started
1594289949:[MRMAID,0186]no wake-up
1594289950:[MRMAID,0188]acq already stopped
1594289950:[MRMAID,0052]Mermaid $BOARD:452116600-73;
1594289951:[MRMAID,0052]Mermaid $SOFT:2.1344;
1594289951:[TESTMD,0053]Enter in test mode? yes/no
1594289951:[TESTMD,0252]0073>
1594289955:[TESTMD,0050]"no"
1594289955:[BYCMD ,0107]    FreeRTOS V8.2.3
1594289955:[BYCMD ,0108]    FatFS v11a
1594289955:[BYCMD ,0117]    valve is running
1594289955:[BYCMD ,0120]    bypass 20000ms 60000ms (20000ms 60000ms stored)
1594289955:[BYCMD ,0121]    valve 60000ms 12750 (60000ms 12750 stored)
1594289955:[BYCMD ,0122]    pump 60000ms 30% 10750 80% (60000ms 30% 10750 80% stored)
1594289955:[BYCMD ,0123]    rate 2mbar/s (2mbar/s stored)
1594289955:[BYCMD ,0124]    surface 500mbar (500mbar stored)
1594289956:[BYCMD ,0125]    near 15000mbar 3mbar/s (15000mbar 3mbar/s stored)
1594289956:[BYCMD ,0126]    far 25000mbar 4mbar/s (25000mbar 4mbar/s stored)
1594289956:[BYCMD ,0127]    ascent 8mbar/s (8mbar/s stored)
1594289956:[BYCMD ,0128]    dead 300s (300s stored)
1594289956:[BYCMD ,0129]    coeff 16/10 (16/10 stored)
1594289956:[BYCMD ,0130]    stab 10 (10 stored)
1594289956:[BYCMD ,0131]    delay 900s 3600s (900s 3600s stored)
1594289956:[BYCMD ,0132]    mmtime 2880min (2880min stored)
1594289956:[BYCMD ,0133]    dv_landing 100ml (100ml stored)
1594289956:[MKDCMD,0150]    p2t37: 15x2000ms, offset 0mbar
1594289956:[P2TCMD,0151]    p2t37: dp 5000mbar, dt 5000mdegC
1594289956:[STAGE ,0080]Stage [0] 20000mbar (+/-2000mbar) 12000s (<12000s) 
1594289956:[MAIN  ,0065]surfacing
1594289981:[SURFIN,0036]P   +100mbar
1594289984:[SURFIN,0020]filling external bladder
1594289987:[SURFIN,0019]external bladder full
1594290050:[MAIN  ,0272]Vbat 15480mV (min 15462mV)
1594290052:[MAIN  ,0024]internal pressure 81085Pa
1594290052:[MAIN  ,0043]Pext 99mbar (rng 20mbar)
1594290052:[MAIN  ,0064]surface
1594290052:[CMD   ,0276]0073>
1594290061:[SURF  ,0022]GPS fix...
1594290241:<WARN>[GPSFIX,0046]no fix after 180s
1594290242:<WARN>[SURF  ,0028]GPS fix ret 0
1594290422:<WARN>[GPSFIX,0046]no fix after 180s
1594290423:<WARN>[SURF  ,0049]no MRMD GPS
1594290603:<WARN>[GPSFIX,0046]no fix after 180s
1594290604:<WARN>[SURF  ,0028]GPS fix ret 0
1594290614:[SURF  ,0274]last almanac : 2672
1594290625:[MRMAID,0026]1101 bytes in 0073/5F06F1BB.MER
1594290631:<WARN>[MAIN  ,0031]incomplete surface1
1594290631:[LOGBIN,0078]*** switching to 0073/5F06F1C7 ***
